{-0.1092813556797756,	-0.28341133921639106},
{3.857350687912974,	-15.53637072993494},
{5.0321046705513455,	-16.817935795056698},
{9.636904813946916,	-16.091916111760607},
{9.769845912301598,	-11.851962169878087},
{3.9207373568882886,	-11.428308350823663},
{0.9508165484454301,	-12.90121146302679},
{6.754573183316865,	-13.405585510216014},
{4.841041432187191,	-17.697458852458517},
{0.5481706103041857,	-12.708219818684531},
{5.088912097868423,	-18.184501098313742},
{0.5057092999693973,	-15.838845004912898},
{4.385952147304478,	-17.874680195118444},
{3.5172894879532137,	-12.241817894905784},
{-2.1879195947322048,	-15.136730264790863},
{-0.28731930787569127,	-12.025645602910526},
{-0.6709938993359117,	-15.93532028949124},
{-1.3284718840519067,	-19.935811877844678},
{-0.7100693361945645,	-15.775960970596259},
{1.5467158587963263,	-17.265860224038484},
{2.4513791462498373,	-19.77523831875599},
{5.263910515637389,	-17.963069898817814},
{5.9777587721936225,	-19.18038882788283},
{1.5974131545265227,	-16.876199030698764},
{1.614515235016289,	-15.670296286267316},
{5.577632637392373,	-20.441605779789768},
{4.899380006519389,	-19.850499137014783},
{4.595039970204511,	-18.92758915863762},
{1.4442199459530274,	-16.621149356817522},
{7.702032135266784,	-20.02807631021691},
{1.2469192104761495,	-19.34273579038942},
{9.791009525735205,	-21.98044818999621},
{6.52186409020001,	-21.698864597400558},
{3.4249156989501337,	-17.033027519454343},
{2.897907635884363,	-19.179747139911385},
{7.19070869041276,	-20.868244806726935},
{7.0431305140510165,	-17.981125682297503},
{9.711835519689778,	-15.88691418209649},
{5.158569261213716,	-13.459180993044964},
{1.2416140931592627,	-19.409111801045572},
{4.436733004417699,	-14.428910309240935},
{5.099290074575986,	-19.008624610961576},
{3.8329753503554684,	-14.058198012457222},
{9.802040744109942,	-13.447869657221807},
{6.993136376673419,	-12.002202277318364},
{7.266064368474717,	-15.912761007822555},
{6.5081386874990494,	-15.390175721419812},
{6.887075797131093,	-13.827524427494925},
{7.307339924647736,	-13.091654912109174},
{8.038896236776836,	-19.099639508417788},
{7.96439786921603,	-18.74620591949687},
{6.333181382705494,	-20.752737588827834},
{8.406118006654358,	-19.53606965210853},
{7.7842477027947545,	-17.50388779183239},
{6.687650495896721,	-20.21311131573086},
{12.965725322617924,	-16.72192381263647},
{12.908629642019871,	-19.381577986713534},
{12.928521388326558,	-25.12541833651919},
{13.809998098445988,	-20.691915866098277},
{7.2147574877148895,	-17.878904822904712},
{12.004812778656188,	-20.30028746699448},
{10.802514589610071,	-22.160624171175733},
{13.088189371619144,	-23.377955217692087},
{9.816233140008265,	-19.95357657768925},
{9.817395760402839,	-23.97964702187082},
{11.60103385007465,	-22.38016733971599},
{16.87363555360198,	-24.040815906739635},
{17.478987934930224,	-19.69780188174168},
{11.589619507450195,	-25.42343071182943},
{12.816522421020927,	-26.186150535519293},
{14.360190464547415,	-21.966329419028543},
{14.971567180852425,	-22.90598604311387},
{10.875364036036864,	-20.021285427839658},
{13.715836011186232,	-20.911858116505414},
{8.679098978252519,	-22.82004218929561},
{10.85894742306182,	-24.734761939824295},
{7.551356449162888,	-24.93798237457056},
{14.776183787658164,	-24.235221088596845},
{12.120712231435574,	-27.78748407837235},
{14.230509472712496,	-27.215062243398098},
{11.096510660468567,	-24.51187488161994},
{7.702716595216899,	-23.85855526809035},
{9.555857701615036,	-26.945009281916498},
{6.245509689181227,	-26.963588314317665},
{9.287885062737042,	-23.19521841009028},
{10.686394307390792,	-24.619645591578255},
{10.901988247816403,	-21.639617464346156},
{10.153169637358822,	-25.940487893206132},
{6.976863107913307,	-19.964919981063748},
{8.578482022375471,	-24.002016774930127},
{9.207495829822456,	-20.519265175779335},
{5.328543077914879,	-20.65013287194925},
{9.741436721675733,	-20.209899435500695},
{9.87250195934125,	-21.478730943357366},
{6.648698863851527,	-22.270580194249895},
{5.038471772150493,	-24.285127666309307},
{4.396208118171166,	-20.671391722324366},
{4.7566808380298555,	-20.313519418768816},
{6.594749818596103,	-25.536789476603673},
{3.345948610131555,	-23.913915125941536},
{6.3964924896527755,	-26.05985352105027},
{9.888062594885625,	-25.688591464090493},
{8.516783224066875,	-27.904133586083137},
{9.01205791003332,	-22.508516720083424},
{2.5083405978699878,	-26.824086433234406},
{1.4313356206626624,	-26.650589574918854},
{8.874799838579682,	-23.525222875362154},
{7.483868898797894,	-19.736441516137536},
{7.604398297070577,	-21.71112525178476},
{4.7737114205007485,	-26.61001221590996},
{6.456436839886508,	-20.37899468451379},
{0.5726652917349568,	-21.482696474040107},
{6.265688241126821,	-18.236114142770674},
{6.303772262287782,	-23.167289110968046},
{3.5598761351155774,	-20.44040130578145},
{4.532036574607584,	-19.985644357420018},
{6.993576578521489,	-18.459651344716608},
{4.654171872998359,	-19.520563301106097},
{4.0382402457363265,	-21.176220415129272},
{4.51948255587622,	-18.513609134068062},
{-0.12524203628971886,	-24.94072246375422},
{3.6230392062454193,	-22.400556533778488},
{-2.8148640744764872,	-20.180701857506183},
{-0.20064212749737464,	-18.71777384324947},
{3.003544899100614,	-20.7478227674402},
{3.7180128053609263,	-23.64944396828436},
{3.521615554515389,	-24.514216014497745},
{5.282362140870522,	-27.166787558869924},
{1.8532093502963534,	-26.45225121396684},
{1.3983683885256397,	-28.823715863160217},
{2.2575171600354986,	-22.829234433753435},
{1.4217588712617113,	-24.161641192550988},
{2.1065682009931788,	-23.460879758033606},
{3.8572769599628742,	-30.759337577369017},
{-0.22448663437472316,	-23.55311600115982},
{5.590751817039002,	-27.778971522176185},
{0.028373328153791455,	-28.172741430021087},
{3.1619217993578825,	-25.71204280593701},
{4.368645275042879,	-29.21729926703295},
{6.583436941053372,	-27.17671009232806},
{3.4350461315628165,	-28.34508427080834},
{3.7586453533992428,	-25.860599413012824},
{1.344726469616111,	-27.424101842102406},
{7.274946586506027,	-27.968222590088967},
{1.7207833251029783,	-25.366573852150196},
{6.767022559810232,	-27.31850230798174},
{1.2547507519491035,	-26.716510844645804},
{5.681201674343297,	-30.004676903658925},
{3.2928260738504127,	-31.837214153643497},
{0.5623958982799007,	-28.832194532841065},
{3.9853423527443272,	-24.967383641963927},
{1.198507339724184,	-29.576781434855008},
{4.816187569986976,	-25.747319327849052},
{1.2250123361960679,	-28.674086067310956},
{1.9518883297546292,	-28.85511303174616},
{-3.160848808008505,	-26.163359017286062},
{-0.9460841162631111,	-29.628331978339336},
{3.4150688186833866,	-31.326618006712764},
{-2.314321797722018,	-29.006745183138975},
{-0.4213584080690209,	-28.090887438991665},
{1.7165272006300523,	-31.225687595180037},
{0.3779339740010075,	-28.865198343019365},
{1.1757276806565775,	-33.32475739903373},
{0.668172206250091,	-28.062612416129674},
{2.4718584430795314,	-27.322386567324454},
{1.764350520858824,	-27.765043740789416},
{3.5868766424780993,	-33.359796719711234},
{6.100464082415825,	-33.959609886088444},
{3.3497404279303655,	-35.57594377731257},
{5.4473628865834005,	-29.73070240830207},
{4.286352774438274,	-37.85031581231625},
{3.192237402115948,	-33.19287067836518},
{-0.6404693885341315,	-30.064516363827586},
{1.2415862468281418,	-33.014848597653796},
{3.2095336811782316,	-34.9415945945192},
{-0.7856895067063023,	-34.207371700780776},
{-2.6994184178893814,	-33.22186435916389},
{3.6398474338985958,	-37.009247845705936},
{2.08061892261507,	-38.27262210168701},
{-1.3312805569167958,	-35.22687464735576},
{0.9976846081921478,	-31.42190129836447},
{-0.007894477913147568,	-35.5265608419252},
{-1.2817095880228777,	-35.078415596344776},
{2.567406625167811,	-38.36662790458455},
{2.919395867505405,	-35.00557683242517},
{-1.4557787425263564,	-33.81311794637787},
{4.178013048724685,	-37.12506986446881},
{2.4807121721008834,	-34.24598442787945},
{-1.2133067757045621,	-36.35811829021908},
{4.207380827232988,	-37.9763945131211},
{-0.6003664158394635,	-41.449472500206795},
{3.68713886865966,	-36.305056993484634},
